,IndexNumber,UID,code3,FIPS,Lat,Long,Population,State,Area,Date,Deaths,Area_MA,Area_MW,Area_NE,Area_O,Area_S,Area_SW,Area_W,NumberOfDays,Firstdeath,DaysSinceFirst,PopulationScaled,DeathsScaled,ClinicianCountper100k,ClinicianRate,CityPopulationDensity,MostDenseCity
128,128,1512538302,15120,538302.0,715.0030145,-1112.38029805,1344212,Maine,NE,2020-01-24,0,0,0,1,0,0,0,0,2,2020-03-27,-63,-0.658960856999206,-0.27920037771292394,719.0,53.82,4497.9,Munjoy Hill
129,129,2184747127,21840,747127.0,936.35809657,-1840.21122261,6045680,Maryland,MA,2020-01-24,0,1,0,0,0,0,0,0,2,2020-03-19,-55,-0.030154369323644164,-0.27920037771292394,723.0,11.95,2917.0,Baltimore
130,130,1428590248,14280,520246.0,630.9941489099998,-1071.27703141,6892503,Massachusetts,NE,2020-01-24,0,0,0,1,0,0,0,0,2,2020-03-20,-56,0.08310553084219388,-0.27920037771292394,878.0,12.8,5472.0,Boston
131,131,7310474950,73080,2334941.0,3655.6204674499986,-7070.080729440003,9986857,Michigan,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-12,-48,0.4969655997323417,-0.27920037771292394,5602.0,56.23,1873.0,Detroit
132,132,7478526623,74760,2526623.0,3963.02512922,-8215.492913339998,5639632,Minnesota,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-21,-57,-0.08446200615275509,-0.27920037771292394,818.0,14.67,3019.0,Minneapolis
133,133,7058472780,70560,2472780.0,2689.00357846,-7350.949515640002,2976149,Mississippi,S,2020-01-24,0,0,0,0,0,1,0,0,2,2020-03-19,-55,-0.4406944404080916,-0.27920037771292394,397.0,13.3,2462.0,University
134,134,9915588598,99120,3518595.0,4460.98472627,-10729.940478620003,6626371,Missouri,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-18,-54,0.047511216858120695,-0.27920037771292394,2235.0,36.56,1929.0,St. Louis
135,135,4873853196,48720,1853196.0,2630.58270339,-6143.222113399999,1068778,Montana,W,2020-01-24,0,0,0,0,0,0,0,1,2,2020-03-27,-63,-0.6957992840876027,-0.27920037771292394,223.0,21.23,962.0,Billings
136,136,7983061711,79800,3061711.0,3842.926930089997,-9210.62813682,1934408,Nebraska,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-28,-64,-0.5800240071046271,-0.27920037771292394,270.0,14.06,2256.4,Beechwood
137,137,1596714838,15960,714838.0,667.3519446600002,-1998.5878901,3080156,Nevada,W,2020-01-24,0,0,0,0,0,0,0,1,2,2020-03-16,-52,-0.4267838328353777,-0.27920037771292394,629.0,20.98,1747.0,Las Vegas
138,138,1008500166,10080,500166.0,434.78972876,-715.77656705,1359711,New Hampshire,NE,2020-01-24,0,0,0,1,0,0,0,0,2,2020-03-23,-59,-0.656887914728306,-0.27920037771292394,345.0,25.69,2531.5,Cluffs Crossing
139,139,1932884509,19320,884509.0,846.0152591300001,-1567.07144401,8882190,New Jersey,MA,2020-01-24,0,1,0,0,0,0,0,0,2,2020-03-10,-46,0.3492198793911419,-0.27920037771292394,3043.0,33.79,23394.0,Guttenberg
140,140,2941326065,29400,1326065.0,1140.1288463,-3494.2745445,2096829,New Mexico,SW,2020-01-24,0,0,0,0,0,0,1,0,2,2020-03-25,-61,-0.558300711628671,-0.27920037771292394,282.0,13.51,4044.0,Morningside
141,141,5378405916,53760,2405916.0,2637.73738266,-4679.39936508,26161672,New York,MA,2020-01-24,0,1,0,0,0,0,0,0,2,2020-03-11,-47,2.6602959912083644,-0.27920037771292394,3875.0,19.52,27799.0,Manhattan
142,142,8571880074,85680,3880074.0,3562.4209710000014,-7950.109873960002,10488084,North Carolina,S,2020-01-24,0,0,0,0,0,1,0,0,2,2020-03-25,-61,0.5640031270319338,-0.27920037771292394,1324.0,12.89,1235.0,Raleigh
143,143,4622186885,46200,2186885.0,2511.855856580001,-5313.2178520900015,762062,North Dakota,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-27,-63,-0.7368215798203179,-0.27920037771292394,90.0,11.91,2446.6,Calspur
144,144,7563609822,75600,3609822.0,3547.3389435400013,-7289.51590458,11689100,Ohio,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-20,-56,0.7246352216462442,-0.27920037771292394,4424.0,37.95,1915.0,Cleveland
145,145,6639256009,66360,3256009.0,2733.6474108,-7488.35776672,3956971,Oklahoma,SW,2020-01-24,0,0,0,0,0,0,1,0,2,2020-03-19,-55,-0.30951259744863296,-0.27920037771292394,1842.0,46.86,785.0,Tulsa
146,146,3193647378,31920,1647378.0,1601.7264242899994,-4373.1691055,4217737,Oregon,W,2020-01-24,0,0,0,0,0,0,0,1,2,2020-03-15,-51,-0.2746359690072174,-0.27920037771292394,917.0,22.13,1874.0,Portland
147,147,5798988573,57960,2988573.0,2734.8112497699994,-5200.22629518,12801989,Pennsylvania,MA,2020-01-24,0,1,0,0,0,0,0,0,2,2020-03-18,-54,0.8734806085047251,-0.27920037771292394,5750.0,44.9,4547.0,Philadelphia
148,148,630,630,72.0,18.2208,-66.5901,2933408,Puerto Rico,O,2020-01-24,0,0,0,0,1,0,0,0,2,2020-03-21,-57,-0.4464109140902992,-0.27920037771292394,,,11907.4,Santa Teresita
149,149,588390113,5880,390113.0,208.27571053,-357.32052549,1059361,Rhode Island,NE,2020-01-24,0,0,0,1,0,0,0,0,2,2020-03-28,-64,-0.6970587780785096,-0.27920037771292394,266.0,25.1,3783.0,Providence
150,150,4034242206,40320,2242206.0,1562.0437180300007,-3725.23638584,5148714,South Carolina,S,2020-01-24,0,0,0,0,0,1,0,0,2,2020-03-16,-52,-0.15012073728029046,-0.27920037771292394,718.0,14.29,2427.6,Tranquil Acres
151,151,5715210577,57120,3210577.0,2921.9978651999995,-6554.50198811,884659,South Dakota,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-11,-47,-0.720424618494715,-0.27920037771292394,176.0,20.24,881.0,Sioux Falls
152,152,8152644119,81480,4644119.0,3409.0847101599993,-8180.328683919997,6829174,Tennessee,S,2020-01-24,0,0,0,0,0,1,0,0,2,2020-03-20,-56,0.07463547722106839,-0.27920037771292394,823.0,12.25,793.0,Memphis
153,153,21516426612,215040,12426612.0,8041.803434339999,-25057.879425249987,28995881,Texas,SW,2020-01-24,0,0,0,0,0,0,1,0,2,2020-03-17,-53,3.0393624884446457,-0.27920037771292394,4471.0,15.8,1524.0,Dallas
154,154,3110012044,31080,1591939.0,1388.55098628,-3904.519943400001,3205958,Utah,W,2020-01-24,0,0,0,0,0,0,0,1,2,2020-03-22,-58,-0.40995821288804185,-0.27920037771292394,577.0,18.6,696.0,Salt Lake City
155,155,1344870296,13440,870296.0,618.2329411800001,-1017.58132988,623989,Vermont,NE,2020-01-24,0,0,0,1,0,0,0,0,2,2020-03-19,-55,-0.7552884072395045,-0.27920037771292394,79.0,12.67,2428.3,Northfield Center
156,156,850,850,78.0,18.3358,-64.8963,107268,Virgin Islands,O,2020-01-24,0,0,0,0,1,0,0,0,2,2020-04-05,-72,-0.8243982080757974,-0.27920037771292394,,,1878.9,Frenchtown
157,157,11346988213,113400,6988213.0,4996.297993259999,-10442.323660759994,8535519,Virginia,S,2020-01-24,0,0,0,0,0,1,0,0,2,2020-03-14,-50,0.30285372867205274,-0.27920037771292394,1249.0,14.75,1463.0,Richmond
158,158,3446238627,34440,2238627.0,1842.11767038,-4708.0495961999995,7614893,Washington,W,2020-01-24,0,0,0,0,0,0,0,1,2,2020-02-29,-36,0.1797229104844565,-0.27920037771292394,1261.0,17.03,3336.0,Seattle
159,159,4791143133,47880,3143133.0,2134.78395387,-4433.959998229999,1792147,West Virginia,S,2020-01-24,0,0,0,0,0,1,0,0,2,2020-03-30,-66,-0.5990509662891229,-0.27920037771292394,741.0,40.81,3681.3,West Side
160,160,6220135229,62160,4135229.0,3196.450331630001,-6465.454558629999,5822434,Wisconsin,MW,2020-01-24,0,0,1,0,0,0,0,0,2,2020-03-19,-55,-0.0600128163337309,-0.27920037771292394,1056.0,18.22,2389.0,Milwaukee
161,161,2101458641,21000,1458641.0,990.99836662,-2464.5245707,578759,Wyoming,W,2020-01-24,0,0,0,0,0,0,0,1,2,2020-04-13,-80,-0.7613377768061093,-0.27920037771292394,123.0,21.23,862.0,Cheyenne
162,162,5796241491,57960,241491.0,2203.24678369,-5809.578199250002,4903185,Alabama,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-25,-60,-0.18295946512284794,-0.27920037771292394,555.0,11.39,2973.9,Normal
163,163,2604232344,26040,232344.0,1747.5798765500006,-4229.3193343,731545,Alaska,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-25,-60,-0.7409031321321482,-0.27920037771292394,227.0,30.68,3458.4,Homesite Park
164,164,1428230216,14280,230216.0,505.13855463,-1671.9484819,7278717,Arizona,SW,2020-01-25,0,0,0,0,0,0,1,0,3,2020-03-21,-56,0.134760432849637,-0.27920037771292394,1975.0,28.15,1212.0,Phoenix
165,165,6468550635,64680,550635.0,2618.39170427,-6932.548370129999,3017804,Arkansas,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-24,-59,-0.4351232157939656,-0.27920037771292394,333.0,11.08,643.0,Little Rock
166,166,5040521376,50400,521376.0,2194.94977547,-7002.258461499999,39512223,California,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-04,-39,4.445889997770455,-0.27920037771292394,5338.0,13.5,7286.0,San Francisco
167,167,5544685999,55440,685999.0,2491.870365929999,-6751.119357399997,5758736,Colorado,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-12,-47,-0.0685322225387626,-0.27920037771292394,1534.0,27.36,1774.0,Denver
168,168,840242082,8400,242082.0,332.90944112,-581.25463743,3565287,Connecticut,NE,2020-01-25,0,0,0,1,0,0,0,0,3,2020-03-18,-53,-0.3618990946700785,-0.27920037771292394,518.0,14.44,3523.0,Bridgeport
169,169,420200029,4200,200029.0,117.32783047,-226.59971237,973764,Delaware,MA,2020-01-25,0,1,0,0,0,0,0,0,3,2020-03-26,-61,-0.7085071063295081,-0.27920037771292394,310.0,32.23,6269.3,Cleland Heights
170,170,252181023,2520,181023.0,38.90417773,-77.01655992,705749,District of Columbia,MA,2020-01-25,0,1,0,0,0,0,0,0,3,2020-03-20,-55,-0.7443532656130266,-0.27920037771292394,94.0,13.55,4382.0,Washington
171,171,5796978574,57960,978574.0,1939.0305769000006,-5540.949841920001,21477737,Florida,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-08,-43,2.033834486875966,-0.27920037771292394,4835.0,23.04,4969.0,Miami
172,172,13526262703,135240,2262703.0,5216.5566110300015,-13288.811358250005,10617423,Georgia,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-12,-47,0.5813018095518339,-0.27920037771292394,1028.0,9.86,1384.0,Atlanta
173,173,316,316,66.0,13.4443,144.7937,164229,Guam,O,2020-01-25,0,0,0,0,1,0,0,0,3,2020-03-22,-57,-0.8167798543308633,-0.27920037771292394,,,320.0,-
174,174,588245055,5880,245055.0,105.14141503,-786.6161824,1415872,Hawaii,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-24,-59,-0.6493765584552553,-0.27920037771292394,212.0,14.85,15989.1,Mōʻiliʻili
175,175,3864875968,38640,875968.0,1947.5896553700006,-5036.245496399999,1787065,Idaho,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-26,-61,-0.5997306677292619,-0.27920037771292394,457.0,26.62,2585.1,Ustick
176,176,8737914438,87360,1914438.0,4064.04900553,-9096.1896671,12671821,Illinois,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-17,-52,0.8560710498545859,-0.27920037771292394,2464.0,19.25,4612.0,Chicago
177,177,7897834500,78960,1834500.0,3665.0364912399987,-7932.1082973199955,6732219,Indiana,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-16,-51,0.06166805236300616,-0.27920037771292394,1104.0,16.56,921.0,Indianapolis
178,178,8486060839,84840,2060839.0,4160.9610923300015,-9253.08642292,3155070,Iowa,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-25,-60,-0.4167643220745415,-0.27920037771292394,1287.0,40.91,1143.0,Iowa City
179,179,8990281065,89880,2281065.0,4040.964784169999,-10298.87791087,2913314,Kansas,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-13,-48,-0.4490984230903292,-0.27920037771292394,801.0,27.5,2386.0,Westwood Hills
180,180,10250704442,102480,2704442.0,4514.6572620000015,-10223.986874159997,4467673,Kentucky,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-16,-51,-0.2412078188414225,-0.27920037771292394,687.0,15.42,910.0,Louisville
181,181,5545582140,55440,1582140.0,1989.9153525399995,-5876.747945990001,4648794,Louisiana,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-14,-49,-0.2169834574601932,-0.27920037771292394,261.0,5.57,896.0,New Orleans
182,182,1512538302,15120,538302.0,715.0030145,-1112.38029805,1344212,Maine,NE,2020-01-25,0,0,0,1,0,0,0,0,3,2020-03-27,-62,-0.658960856999206,-0.27920037771292394,719.0,53.82,4497.9,Munjoy Hill
183,183,2184747127,21840,747127.0,936.35809657,-1840.21122261,6045680,Maryland,MA,2020-01-25,0,1,0,0,0,0,0,0,3,2020-03-19,-54,-0.030154369323644164,-0.27920037771292394,723.0,11.95,2917.0,Baltimore
184,184,1428590248,14280,520246.0,630.9941489099998,-1071.27703141,6892503,Massachusetts,NE,2020-01-25,0,0,0,1,0,0,0,0,3,2020-03-20,-55,0.08310553084219388,-0.27920037771292394,878.0,12.8,5472.0,Boston
185,185,7310474950,73080,2334941.0,3655.6204674499986,-7070.080729440003,9986857,Michigan,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-12,-47,0.4969655997323417,-0.27920037771292394,5602.0,56.23,1873.0,Detroit
186,186,7478526623,74760,2526623.0,3963.02512922,-8215.492913339998,5639632,Minnesota,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-21,-56,-0.08446200615275509,-0.27920037771292394,818.0,14.67,3019.0,Minneapolis
187,187,7058472780,70560,2472780.0,2689.00357846,-7350.949515640002,2976149,Mississippi,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-19,-54,-0.4406944404080916,-0.27920037771292394,397.0,13.3,2462.0,University
188,188,9915588598,99120,3518595.0,4460.98472627,-10729.940478620003,6626371,Missouri,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-18,-53,0.047511216858120695,-0.27920037771292394,2235.0,36.56,1929.0,St. Louis
189,189,4873853196,48720,1853196.0,2630.58270339,-6143.222113399999,1068778,Montana,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-27,-62,-0.6957992840876027,-0.27920037771292394,223.0,21.23,962.0,Billings
190,190,7983061711,79800,3061711.0,3842.926930089997,-9210.62813682,1934408,Nebraska,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-28,-63,-0.5800240071046271,-0.27920037771292394,270.0,14.06,2256.4,Beechwood
191,191,1596714838,15960,714838.0,667.3519446600002,-1998.5878901,3080156,Nevada,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-16,-51,-0.4267838328353777,-0.27920037771292394,629.0,20.98,1747.0,Las Vegas
192,192,1008500166,10080,500166.0,434.78972876,-715.77656705,1359711,New Hampshire,NE,2020-01-25,0,0,0,1,0,0,0,0,3,2020-03-23,-58,-0.656887914728306,-0.27920037771292394,345.0,25.69,2531.5,Cluffs Crossing
193,193,1932884509,19320,884509.0,846.0152591300001,-1567.07144401,8882190,New Jersey,MA,2020-01-25,0,1,0,0,0,0,0,0,3,2020-03-10,-45,0.3492198793911419,-0.27920037771292394,3043.0,33.79,23394.0,Guttenberg
194,194,2941326065,29400,1326065.0,1140.1288463,-3494.2745445,2096829,New Mexico,SW,2020-01-25,0,0,0,0,0,0,1,0,3,2020-03-25,-60,-0.558300711628671,-0.27920037771292394,282.0,13.51,4044.0,Morningside
195,195,5378405916,53760,2405916.0,2637.73738266,-4679.39936508,26161672,New York,MA,2020-01-25,0,1,0,0,0,0,0,0,3,2020-03-11,-46,2.6602959912083644,-0.27920037771292394,3875.0,19.52,27799.0,Manhattan
196,196,8571880074,85680,3880074.0,3562.4209710000014,-7950.109873960002,10488084,North Carolina,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-25,-60,0.5640031270319338,-0.27920037771292394,1324.0,12.89,1235.0,Raleigh
197,197,4622186885,46200,2186885.0,2511.855856580001,-5313.2178520900015,762062,North Dakota,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-27,-62,-0.7368215798203179,-0.27920037771292394,90.0,11.91,2446.6,Calspur
198,198,7563609822,75600,3609822.0,3547.3389435400013,-7289.51590458,11689100,Ohio,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-20,-55,0.7246352216462442,-0.27920037771292394,4424.0,37.95,1915.0,Cleveland
199,199,6639256009,66360,3256009.0,2733.6474108,-7488.35776672,3956971,Oklahoma,SW,2020-01-25,0,0,0,0,0,0,1,0,3,2020-03-19,-54,-0.30951259744863296,-0.27920037771292394,1842.0,46.86,785.0,Tulsa
200,200,3193647378,31920,1647378.0,1601.7264242899994,-4373.1691055,4217737,Oregon,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-15,-50,-0.2746359690072174,-0.27920037771292394,917.0,22.13,1874.0,Portland
201,201,5798988573,57960,2988573.0,2734.8112497699994,-5200.22629518,12801989,Pennsylvania,MA,2020-01-25,0,1,0,0,0,0,0,0,3,2020-03-18,-53,0.8734806085047251,-0.27920037771292394,5750.0,44.9,4547.0,Philadelphia
202,202,630,630,72.0,18.2208,-66.5901,2933408,Puerto Rico,O,2020-01-25,0,0,0,0,1,0,0,0,3,2020-03-21,-56,-0.4464109140902992,-0.27920037771292394,,,11907.4,Santa Teresita
203,203,588390113,5880,390113.0,208.27571053,-357.32052549,1059361,Rhode Island,NE,2020-01-25,0,0,0,1,0,0,0,0,3,2020-03-28,-63,-0.6970587780785096,-0.27920037771292394,266.0,25.1,3783.0,Providence
204,204,4034242206,40320,2242206.0,1562.0437180300007,-3725.23638584,5148714,South Carolina,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-16,-51,-0.15012073728029046,-0.27920037771292394,718.0,14.29,2427.6,Tranquil Acres
205,205,5715210577,57120,3210577.0,2921.9978651999995,-6554.50198811,884659,South Dakota,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-11,-46,-0.720424618494715,-0.27920037771292394,176.0,20.24,881.0,Sioux Falls
206,206,8152644119,81480,4644119.0,3409.0847101599993,-8180.328683919997,6829174,Tennessee,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-20,-55,0.07463547722106839,-0.27920037771292394,823.0,12.25,793.0,Memphis
207,207,21516426612,215040,12426612.0,8041.803434339999,-25057.879425249987,28995881,Texas,SW,2020-01-25,0,0,0,0,0,0,1,0,3,2020-03-17,-52,3.0393624884446457,-0.27920037771292394,4471.0,15.8,1524.0,Dallas
208,208,3110012044,31080,1591939.0,1388.55098628,-3904.519943400001,3205958,Utah,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-03-22,-57,-0.40995821288804185,-0.27920037771292394,577.0,18.6,696.0,Salt Lake City
209,209,1344870296,13440,870296.0,618.2329411800001,-1017.58132988,623989,Vermont,NE,2020-01-25,0,0,0,1,0,0,0,0,3,2020-03-19,-54,-0.7552884072395045,-0.27920037771292394,79.0,12.67,2428.3,Northfield Center
210,210,850,850,78.0,18.3358,-64.8963,107268,Virgin Islands,O,2020-01-25,0,0,0,0,1,0,0,0,3,2020-04-05,-71,-0.8243982080757974,-0.27920037771292394,,,1878.9,Frenchtown
211,211,11346988213,113400,6988213.0,4996.297993259999,-10442.323660759994,8535519,Virginia,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-14,-49,0.30285372867205274,-0.27920037771292394,1249.0,14.75,1463.0,Richmond
212,212,3446238627,34440,2238627.0,1842.11767038,-4708.0495961999995,7614893,Washington,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-02-29,-35,0.1797229104844565,-0.27920037771292394,1261.0,17.03,3336.0,Seattle
213,213,4791143133,47880,3143133.0,2134.78395387,-4433.959998229999,1792147,West Virginia,S,2020-01-25,0,0,0,0,0,1,0,0,3,2020-03-30,-65,-0.5990509662891229,-0.27920037771292394,741.0,40.81,3681.3,West Side
214,214,6220135229,62160,4135229.0,3196.450331630001,-6465.454558629999,5822434,Wisconsin,MW,2020-01-25,0,0,1,0,0,0,0,0,3,2020-03-19,-54,-0.0600128163337309,-0.27920037771292394,1056.0,18.22,2389.0,Milwaukee
215,215,2101458641,21000,1458641.0,990.99836662,-2464.5245707,578759,Wyoming,W,2020-01-25,0,0,0,0,0,0,0,1,3,2020-04-13,-79,-0.7613377768061093,-0.27920037771292394,123.0,21.23,862.0,Cheyenne
216,216,5796241491,57960,241491.0,2203.24678369,-5809.578199250002,4903185,Alabama,S,2020-01-26,0,0,0,0,0,1,0,0,4,2020-03-25,-59,-0.18295946512284794,-0.27920037771292394,555.0,11.39,2973.9,Normal
217,217,2604232344,26040,232344.0,1747.5798765500006,-4229.3193343,731545,Alaska,W,2020-01-26,0,0,0,0,0,0,0,1,4,2020-03-25,-59,-0.7409031321321482,-0.27920037771292394,227.0,30.68,3458.4,Homesite Park
218,218,1428230216,14280,230216.0,505.13855463,-1671.9484819,7278717,Arizona,SW,2020-01-26,0,0,0,0,0,0,1,0,4,2020-03-21,-55,0.134760432849637,-0.27920037771292394,1975.0,28.15,1212.0,Phoenix
219,219,6468550635,64680,550635.0,2618.39170427,-6932.548370129999,3017804,Arkansas,S,2020-01-26,0,0,0,0,0,1,0,0,4,2020-03-24,-58,-0.4351232157939656,-0.27920037771292394,333.0,11.08,643.0,Little Rock
220,220,5040521376,50400,521376.0,2194.94977547,-7002.258461499999,39512223,California,W,2020-01-26,0,0,0,0,0,0,0,1,4,2020-03-04,-38,4.445889997770455,-0.27920037771292394,5338.0,13.5,7286.0,San Francisco
221,221,5544685999,55440,685999.0,2491.870365929999,-6751.119357399997,5758736,Colorado,W,2020-01-26,0,0,0,0,0,0,0,1,4,2020-03-12,-46,-0.0685322225387626,-0.27920037771292394,1534.0,27.36,1774.0,Denver
222,222,840242082,8400,242082.0,332.90944112,-581.25463743,3565287,Connecticut,NE,2020-01-26,0,0,0,1,0,0,0,0,4,2020-03-18,-52,-0.3618990946700785,-0.27920037771292394,518.0,14.44,3523.0,Bridgeport
223,223,420200029,4200,200029.0,117.32783047,-226.59971237,973764,Delaware,MA,2020-01-26,0,1,0,0,0,0,0,0,4,2020-03-26,-60,-0.7085071063295081,-0.27920037771292394,310.0,32.23,6269.3,Cleland Heights
224,224,252181023,2520,181023.0,38.90417773,-77.01655992,705749,District of Columbia,MA,2020-01-26,0,1,0,0,0,0,0,0,4,2020-03-20,-54,-0.7443532656130266,-0.27920037771292394,94.0,13.55,4382.0,Washington
225,225,5796978574,57960,978574.0,1939.0305769000006,-5540.949841920001,21477737,Florida,S,2020-01-26,0,0,0,0,0,1,0,0,4,2020-03-08,-42,2.033834486875966,-0.27920037771292394,4835.0,23.04,4969.0,Miami
